loc,size,total_nodes
1284543,536795,3340544
1286573,536795,3344526
1286930,536795,3344829
1287956,536795,3346989
1289530,536795,3348228
1290242,536795,3349700
1292080,536795,3353309
1292267,536795,3353641
1292415,536795,3354047
1292988,536795,3354888
1293167,536795,3355012
1293815,536795,3356374
1294457,537147,3358395
1295373,537689,3361223
1295971,538013,3363073
1296608,538409,3365169
1297360,538781,3366911
1297966,539111,3368350
1298610,539307,3369288
1299419,539561,3370290
1300566,540044,3372187
1301601,540343,3373457
1301857,540417,3373765
1302095,540473,3374075
1302307,540519,3374352
1302647,540590,3374766
1303093,540657,3375318
1303496,540747,3375929
1304002,540853,3376781
1304285,540923,3377209
1304577,540989,3377699
1304932,541068,3378230
1305293,541185,3378808
1305741,541308,3379613
1306001,541392,3380122
1306280,541482,3380552
1306805,541656,3381527
1307097,541787,3382102
1307352,541850,3382480
1307616,541913,3382902
1307868,541989,3383324
1308230,542124,3384080
1308588,542177,3384459
1308807,542258,3384804
1309111,542407,3385448
1309378,542489,3385917
1309581,542570,3386311
1309918,542664,3387063
1310247,542824,3387751
1310793,543066,3388823
1311135,543208,3389421
1311422,543273,3389874
1311805,543422,3390534
1312014,543516,3390981
1312196,543578,3391366
1312529,543689,3392101
1312759,543718,3392486
1312936,543776,3392831
1313145,543836,3393281
1313394,543862,3393713
1313644,543905,3394278
1314004,544004,3395000
1314225,544037,3395405
1314600,544252,3396274
1315727,544813,3399050
1316006,544914,3399685
1317015,545483,3401972
1317303,545636,3402601
1317681,545827,3403511
1317990,546036,3404259
1318803,546504,3406717
1319696,546953,3408959
1320219,547210,3410286
1320767,547558,3411721
1320953,547697,3412239
1321169,547859,3412933
1321332,547963,3413466
1322092,548181,3415217
1322489,548481,3416510
1323047,548785,3417717
1324138,549198,3419713
1324676,549504,3421140
1325074,549718,3421974
1325755,550159,3423637
1326014,550366,3424193
1326520,550722,3425226
1327064,551171,3426764
1327603,551630,3428270
1327862,551664,3428539
1328074,551748,3429010
1328447,551969,3430100
1329205,552365,3431982
1329765,552772,3433304
1330534,553372,3435369
1331082,553691,3436918
1331763,554208,3438495
1332501,554739,3440331
1335041,556376,3447531
1336441,557242,3452094
1338770,558823,3459962
1339781,559447,3463022
1340260,559778,3464631
1340582,559985,3465432
1341205,560377,3467313
1342795,561165,3471007
1343127,561320,3471667
1344378,561891,3473902
1345545,562541,3476151
1346181,562921,3477653
1347094,563530,3481641
1348094,564259,3485294
1348890,564765,3487791
1349519,565075,3489511
1350039,565380,3491014
