loc,size
128029,51818
128055,51838
128098,51866
128143,51901
128153,51907
128193,51937
128400,52086
128492,52133
128552,52188
128577,52202
128598,52206
128634,52235
128660,52257
128760,52330
128788,52345
129099,52439
129232,52501
129309,52537
129606,52687
129664,52727
129674,52730
129815,52863
129889,52910
129925,52932
129954,52953
130145,53065
130308,53183
130405,53244
130457,53279
130470,53290
130485,53308
130505,53321
130528,53339
130543,53343
130567,53365
130638,53378
130643,53380
130689,53414
130831,53511
130854,53517
130878,53531
130884,53531
130899,53531
130982,53594
131021,53606
131078,53639
131410,53924
131453,53947
131601,54039
131726,54102
131747,54121
131786,54140
132020,54256
132132,54327
132307,54489
132371,54548
132386,54556
132402,54563
132472,54606
132483,54610
132556,54658
132563,54663
132595,54702
132731,54777
132742,54789
132750,54795
132764,54803
132778,54817
132796,54828
132801,54829
132931,54896
135028,55528
135369,55759
135445,55807
135505,55854
135566,55923
135605,55942
135622,55953
135783,56086
136190,56342
136222,56365
136262,56388
136330,56449
136420,56503
136491,56541
137477,57087
137741,57293
137831,57336
138357,57686
139443,58461
139585,58574
139896,58771
140061,58905
140183,58964
140202,58979
140480,59161
140628,59320
140894,59496
141294,59738
141410,59815
141738,60072
141797,60107
141831,60133
141893,60169
142111,60279
142184,60291
142397,60414
142435,60448
142503,60509
142636,60598
142676,60634
142744,60659
142800,60704
142845,60742
142849,60744
142858,60753
142870,60776
142892,60794
142910,60810
142912,60812
142939,60842
142960,60867
142981,60897
142983,60899
142986,60901
143013,60916
143050,60939
143109,60942
143111,60944
143113,60946
143115,60948
143117,60948
143131,60963
143138,60975
143145,60980
143207,61018
143228,61041
143291,61047
143297,61047
143302,61050
143340,61053
143417,61063
143455,61065
143462,61065
143694,61075
143709,61075
143714,61075
143719,61087
143731,61095
143739,61096
143753,61102
143775,61116
143795,61123
143848,61134
143862,61142
143878,61149
143893,61156
143976,61170
157231,61173
157250,61189
157321,61220
157359,61236
157406,61279
157433,61292
157470,61311
157478,61314
157500,61328
157552,61348
157564,61348
157588,61357
157859,61548
158051,61669
158112,61696
158246,61780
158364,61806
158435,61815
158568,61875
158662,61926
159025,61973
159194,62015
159215,62032
159580,62165
159607,62175
159711,62240
159741,62252
159754,62261
159783,62277
159854,62302
159859,62303
159884,62313
159928,62351
160146,62455
160604,62675
160840,62740
160899,62791
161032,62892
161479,63037
161563,63068
161826,63231
161933,63287
161944,63290
161959,63316
161968,63325
162206,63373
162257,63398
162272,63405
162294,63406
162320,63428
162441,63499
162456,63502
162471,63526
162480,63536
162487,63540
162494,63544
162501,63548
162535,63564
162567,63574
162637,63607
162707,63628
162774,63691
162861,63743
162994,63792
163044,63829
163165,63920
163201,63945
163204,63946
163247,63969
163248,63969
163370,64024
163586,64171
163601,64183
163663,64212
163756,64242
163905,64280
163922,64298
163964,64328
164055,64336
164152,64399
164247,64445
164598,64596
164626,64621
165040,64755
165059,64768
165072,64787
165117,64816
165146,64834
165162,64849
165177,64858
165232,64888
165269,64918
165337,64996
165405,65020
165471,65068
165539,65073
165574,65094
165730,65097
165752,65116
165776,65125
165838,65136
165956,65215
166077,65276
166407,65457
166542,65514
166807,65643
166917,65701
167113,65825
167231,65871
167304,65887
167363,65904
167456,65942
167521,65958
167571,65970
167638,65986
167777,66053
167944,66138
168004,66148
168198,66244
168261,66261
168308,66281
168368,66291
168643,66431
168706,66459
168806,66498
168883,66541
168978,66584
169248,66728
169585,66878
169734,66933
169802,66962
169898,67002
170053,67069
170142,67097
170176,67098
170190,67114
170274,67159
170352,67201
170572,67326
170650,67398
170693,67414
170754,67448
170838,67492
170875,67508
170924,67534
170974,67567
171039,67613
171091,67632
171147,67657
171216,67705
171357,67788
171409,67802
171531,67863
171611,67898
171663,67912
171715,67926
171819,68005
171900,68105
171965,68145
172041,68209
172098,68242
172179,68287
172261,68351
172333,68407
172430,68474
172444,68489
172471,68515
172753,68649
172775,68659
172780,68661
172804,68683
172839,68706
172996,68796
173090,68877
173124,68910
173148,68927
173154,68933
173158,68933
173159,68935
173262,68997
173362,69045
173432,69127
173474,69171
173504,69178
173521,69191
173560,69215
173609,69261
173617,69268
173976,69393
174365,69676
174427,69708
174459,69737
174551,69815
174585,69840
174668,69893
174727,69921
174767,69986
174891,70075
174943,70114
175018,70189
175047,70204
175253,70354
175313,70398
175353,70417
175435,70462
175470,70491
175568,70543
175571,70544
175741,70651
175804,70681
175935,70719
175936,70719
175971,70745
176138,70874
176319,70946
176361,70972
176643,71124
176700,71159
176928,71291
177291,71543
177347,71583
177362,71586
177441,71630
177916,71941
178192,72069
178276,72116
178334,72146
178370,72161
178380,72171
178398,72182
178717,72366
178746,72389
178751,72395
178758,72399
178826,72456
178872,72486
178936,72516
178973,72542
179051,72613
179087,72651
179116,72667
179130,72679
179132,72680
179150,72682
179163,72695
179190,72715
179221,72735
179252,72762
179299,72794
179330,72812
179431,72860
179563,72920
179665,72997
179741,73043
179758,73068
179792,73108
179843,73152
179847,73155
179851,73155
179855,73155
179859,73155
179863,73155
179947,73193
180314,73386
180323,73386
180389,73389
180560,73451
181062,73631
181172,73706
181285,73723
181353,73737
181751,73962
182020,74048
182087,74057
182155,74081
182337,74185
182362,74185
182387,74185
