loc,uniq_libs,total_libs
125636,99,909
125709,99,909
125745,99,909
125773,99,909
125822,99,909
125893,100,910
125922,100,910
125983,100,910
125992,100,910
126010,100,910
126014,100,910
126090,103,929
126107,103,929
126137,103,929
126164,103,930
126181,103,931
126216,103,932
126238,103,933
126260,103,934
126355,103,935
126420,103,936
126435,103,937
126468,103,938
126481,103,939
126522,103,940
126563,103,941
126575,103,942
126600,104,945
126601,104,945
126672,104,945
126673,105,946
126748,105,946
126764,106,949
126772,106,949
126840,106,949
126872,108,952
126881,108,952
127343,109,955
127792,110,956
128029,110,956
128055,110,956
128098,110,956
128143,110,956
128153,110,956
128193,110,956
128400,110,956
128492,110,956
128552,110,956
128577,110,956
128598,110,956
128634,111,957
128660,111,957
128760,111,958
128788,111,958
129099,111,958
129232,111,958
129309,111,959
129606,111,960
129664,111,960
129674,111,963
129815,111,964
129889,111,965
129925,111,965
129954,111,973
130145,112,974
130308,113,975
130405,114,977
130457,114,977
130470,114,977
130485,115,979
130505,115,980
130528,115,981
130543,115,981
130567,115,981
130638,115,981
130643,115,982
130689,115,982
130831,115,983
130854,115,985
130878,115,985
130884,115,985
130899,115,985
130982,115,986
131021,115,986
131078,115,986
131410,116,989
131453,116,989
131601,117,990
131726,117,990
131747,118,991
131786,118,991
132020,118,992
132132,121,995
132307,122,996
132371,122,996
132386,122,996
132402,122,996
132472,122,997
132483,122,997
132556,122,997
132563,122,998
132595,123,1000
132731,123,1000
132742,123,1000
132750,123,1000
132764,123,1001
132778,123,1001
132796,123,1002
132801,123,1002
132931,123,1002
135028,123,1003
135369,123,1005
135445,123,1006
135505,123,1007
135566,123,1008
135605,123,1009
135622,123,1010
135783,123,1011
136190,123,1012
136222,123,1013
136262,123,1014
136330,123,1016
136420,123,1018
136491,123,1020
137477,123,1022
137741,123,1024
137831,123,1026
138357,123,1027
139443,123,1028
139585,123,1029
139896,123,1031
140061,123,1032
140183,123,1033
140202,123,1035
140480,123,1036
140628,123,1037
140894,123,1038
141294,123,1040
141410,123,1041
141738,123,1042
141797,123,1043
141831,123,1044
141893,123,1045
142111,123,1046
142184,123,1047
142397,123,1048
142435,123,1049
142503,123,1050
142636,123,1051
142676,124,1052
142744,124,1053
142800,124,1053
142845,124,1053
142849,124,1053
142858,124,1053
142870,124,1053
142892,124,1053
142910,124,1053
142912,124,1053
142939,124,1053
142960,124,1053
142981,124,1053
142983,124,1053
142986,124,1053
143013,124,1053
143050,124,1053
143109,124,1053
143111,124,1053
143113,124,1053
143115,124,1053
143117,124,1053
143131,124,1053
143138,124,1053
143145,124,1053
143207,124,1053
143228,124,1053
143291,124,1054
143297,124,1056
143302,124,1056
143340,124,1056
143417,124,1056
143455,124,1056
143462,124,1056
143694,124,1057
143709,124,1057
143714,124,1057
143719,124,1057
143731,124,1057
143739,124,1057
143753,124,1057
143775,124,1057
143795,124,1057
143848,124,1057
143862,124,1057
143878,124,1057
143893,124,1057
143976,124,1057
157231,124,1057
157250,124,1058
157321,124,1059
157359,124,1060
157406,124,1061
157433,124,1062
157470,124,1063
157478,124,1064
157500,124,1065
157552,124,1066
157564,124,1068
157588,125,1072
157859,126,1074
158051,126,1076
158112,126,1076
158246,126,1079
158364,126,1079
158435,126,1079
158568,126,1080
158662,126,1082
159025,126,1086
159194,126,1086
159215,127,1090
159580,127,1091
159607,127,1091
159711,127,1093
159741,127,1095
159754,127,1097
159783,127,1097
159854,127,1097
159859,127,1097
159884,127,1104
159928,127,1105
160146,128,1106
160604,128,1107
160840,128,1109
160899,128,1110
161032,128,1111
161479,128,1116
161563,128,1118
161826,128,1121
161933,128,1123
161944,128,1127
161959,128,1127
161968,128,1127
162206,129,1129
162257,129,1130
162272,129,1131
162294,129,1152
162320,129,1153
162441,129,1158
162456,129,1158
162471,129,1158
162480,129,1160
162487,129,1161
162494,129,1162
162501,129,1163
162535,129,1163
162567,129,1163
162637,129,1164
162707,129,1165
162774,129,1166
162861,129,1167
162994,129,1170
163044,129,1171
163165,129,1177
163201,129,1178
163204,129,1178
163247,129,1179
163248,129,1180
163370,129,1181
163586,129,1182
163601,129,1183
163663,129,1184
163756,129,1185
