size,loc
49865,127829
50302,129564
50322,129632
50364,129736
50380,129830
50384,129852
50399,129939
50404,130055
50441,130137
50460,130221
50475,130323
50481,130478
50528,130634
50569,130874
50583,130939
50585,130965
50593,131007
50624,131069
50663,131192
50678,131278
50696,131388
50708,131443
50722,131488
50745,131581
50965,132232
50984,132305
51000,132365
51002,132388
51020,132607
51025,132642
51025,132660
51043,132729
51045,132751
51122,132960
51144,133041
51169,133107
51171,133134
51234,133565
51260,133743
51315,133866
51356,133997
51369,134090
51385,134157
51385,134175
51397,134224
51505,134827
51526,135052
51566,135174
51599,135343
51601,135363
51701,135639
51725,135715
51757,135797
51759,135825
51801,135919
51830,136008
51865,136148
51953,136532
52042,137149
52059,137328
52066,137419
52070,137647
52075,137680
52075,137698
52077,137720
52096,137788
52165,137982
52186,138050
52196,138097
52198,138126
52245,138270
52265,138348
52374,138751
52395,138813
52403,138867
52411,138944
52430,138992
52432,139012
52462,139136
52475,139184
52712,140019
52746,140201
52788,140383
52802,140499
52805,140530
52811,140611
52817,140644
52817,140662
52819,140684
52821,140712
52824,140785
52835,140829
52835,140847
52837,140869
52844,140925
52849,140955
52851,140984
52854,141032
52886,141197
52892,141230
52892,141248
52894,141268
52896,141295
52899,141325
52900,141342
52900,141357
52900,141371
52900,141386
52939,141464
52944,141523
52994,141607
53011,141650
53019,141694
53046,141754
53052,141789
53077,141849
53080,141870
53164,142031
53172,142053
53223,142169
53427,142589
53452,142630
53691,142926
53828,143178
53847,143213
53864,143263
53880,143316
53906,143401
53917,143453
53928,143512
54012,143693
54070,143827
54075,143851
54095,143884
54145,143969
54272,144173
54322,144308
54372,144453
54419,144585
54466,144686
54476,144715
54696,145473
54712,145545
54756,145603
54788,145654
54802,145684
54866,145797
54897,145913
55008,146112
55221,146568
55291,146681
55326,146750
55369,146843
55408,146965
55526,147245
55553,147314
55572,147383
55587,147463
55610,147528
55631,147579
55676,147680
55730,147804
55768,147877
55799,147945
55863,148096
55951,148216
56064,148445
56114,148542
56144,148605
56188,148678
56315,148960
56348,149102
56381,149168
56416,149250
56439,149310
56557,149488
56595,149581
56649,149674
56669,149789
56685,149833
56706,149869
56731,149941
56766,150167
56790,150213
56902,150455
56903,150460
56962,150595
57018,150696
57134,150911
57475,151431
57532,151520
57625,151680
57793,152034
57815,152070
57851,152127
57871,152165
57880,152186
57897,152219
57935,152317
57971,152379
57983,152410
58004,152464
58024,152502
58090,152604
58149,152736
58182,152828
58207,152877
58270,153020
58300,153074
58346,153192
58374,153258
58392,153296
58409,153336
58505,153513
58533,153575
58539,153596
58550,153627
58574,153681
58599,153741
58616,153799
58633,153834
58639,153853
58711,153998
58758,154099
58787,154161
59102,154738
59122,154802
59156,154869
59176,154914
59194,154965
59240,155053
59261,155117
59312,155238
59401,155418
59437,155484
59519,155744
59527,155750
59560,155798
59568,155860
59664,155962
60116,156742
60213,156995
60222,157009
60422,157343
60573,157608
60615,157694
60644,157790
60682,157849
60739,157985
60806,158170
60855,158353
60923,158487
60954,158569
61029,158712
61201,159024
61237,159153
61377,159438
61489,159609
61516,159671
61548,159796
61597,159948
61701,160192
61708,160209
61771,160322
61853,160442
61886,160500
61954,160630
62140,160941
62144,160947
62162,160975
62182,160999
62369,161278
62430,161334
62453,161356
62619,161559
62659,161605
62739,161714
62755,161731
62797,161799
63078,162245
63333,162607
63473,162913
63727,163328
63729,163331
63906,163547
63913,163616
64132,164038
64319,164600
64417,164830
64419,164834
64430,164846
64437,164866
64477,164899
64505,164933
64505,164935
64507,164939
64508,164945
64547,164993
64553,165004
64558,165013
64561,165025
64566,165035
64597,165082
64680,165178
64681,165181
64681,165190
64688,165203
64692,165214
64697,165218
64699,165221
64753,165320
64753,165520
64781,165565
64849,165659
64861,165677
64864,165684
64877,165700
64911,165771
64953,165835
64983,165872
64983,165965
64997,165988
65017,166009
65031,166021
65039,166036
65048,166051
65050,166057
65086,166106
65091,166111
65147,166185
65166,166209
65188,166242
65249,166327
65249,166714
65276,166746
65289,166780
65289,166934
65295,166939
65295,166998
65318,167027
65333,167042
65420,167181
65428,167190
65461,167316
65482,167351
65498,167373
65523,167410
65541,167470
65558,167499
65611,167609
65611,167768
65620,167786
65635,167810
65635,167857
65635,167925
65647,167933
65647,168102
65730,168203
65739,168219
65758,168232
65812,168287
65828,168327
65828,168335
65917,168409
65917,168417
65971,168463
65971,168479
65992,168491
65994,168493
65994,168585
66014,168598
66014,168606
66014,168636
66041,168651
66041,168659
66070,168705
66146,168774
66214,168882
66214,168883
66355,169194
66427,169591
66658,169852
66671,169902
66680,169922
66694,169936
66714,169992
66880,170173
66919,170207
66922,170214
66974,170268
66982,170299
67100,170446
67107,170459
67115,170470
67119,170502
67132,170524
67144,170538
67163,170567
67175,170579
67208,170632
67283,170736
67294,170755
67301,170773
67313,170793
67324,170814
67393,170909
67405,170916
67556,171323
67582,171396
67624,171469
67717,171739
67807,172088
67808,172091
67949,172414
67956,172444
67979,172500
68123,172890
68126,172899
68247,173078
68287,173113
68341,173273
68349,173292
68414,173378
68439,173425
68457,173474
68463,173513
68499,173603
68519,173680
68528,173703
68559,173733
68611,173844
68644,173887
68788,174189
68817,174252
68839,174276
68842,174284
68876,174366
68877,174369
68933,174443
68933,174494
68940,174501
68989,174558
68999,174573
69006,174587
69010,174597
69024,174646
69212,174969
69228,175007
69253,175046
69297,175109
69308,175123
69342,175208
