loc,size
1329745,552753
1330622,553452
1330646,553474
1331132,553724
1331696,554162
1331731,554182
1331773,554215
1332127,554510
1332150,554521
1332504,554740
1332565,554782
1334055,555678
1334974,556313
1335878,556874
1336120,557030
1336144,557044
1338298,558526
1339430,559225
1339481,559258
1339914,559522
1340127,559667
1340195,559721
1340305,559801
1340397,559874
1340436,559892
1340609,559990
1340810,560148
1341096,560295
1342762,561153
1342910,561206
1344415,561930
1346161,562914
1346206,562929
1346976,563452
1347224,563601
1348524,564583
1349508,565072
1349815,565223
1350071,565386
1350507,565654
1352233,566400
1352418,566487
1352496,566524
1352524,566543
1352599,566574
1352657,566596
1352770,566640
1352806,566650
1352967,566701
1353131,566747
1353300,566796
1353350,566810
1353626,566901
1353706,566927
1353855,566988
1353995,567039
1354097,567060
1354262,567109
1354288,567117
1354301,567121
1354312,567125
1354392,567150
1354414,567158
1354450,567167
1354774,567261
1354951,567319
1355008,567340
1355137,567406
1355196,567431
1355347,567530
1355429,567580
1355746,567629
1355814,567651
1355906,567679
1355957,567698
1356231,567762
1356292,567792
1356308,567801
1356357,567820
1356396,567842
1356439,567859
1356484,567885
1356829,568096
1356873,568112
1357056,568208
1357080,568225
1357150,568255
1357261,568296
1357322,568325
1357527,568417
1357597,568439
1357614,568446
1357779,568501
1357811,568515
1357825,568524
1358035,568601
1358237,568653
1358254,568662
1358304,568673
1358332,568680
1358370,568688
1358438,568706
1358449,568709
1358621,568750
1358632,568753
1358661,568765
1358672,568768
1358728,568782
1359740,569308
1360036,569593
1360095,569617
1360338,569685
1360602,569746
1360701,569794
1360710,569800
1360735,569817
1360752,569821
1360807,569840
1360861,569856
1360872,569860
1361233,570009
1361300,570028
1361658,570195
1362331,570368
1362378,570398
1362495,570445
1362572,570477
1362605,570489
1362733,570551
1363042,570824
1363426,571079
1363534,571145
1363587,571169
1363616,571180
1363707,571221
1363793,571270
1363807,571281
1363880,571330
1364002,571401
1364057,571421
1364184,571482
1364594,571620
1365067,572126
1365321,572227
1365388,572255
1365543,572344
1365732,572423
1365773,572444
1365831,572458
1366243,572597
1366476,572730
1366491,572735
1366661,572781
1366810,572860
1367038,572950
1367302,573027
1367420,573071
1367435,573075
1367467,573090
1367484,573093
1367598,573137
1367615,573150
1367737,573177
1367784,573197
1367933,573239
1367957,573250
1368201,573319
1368483,573460
1368615,573487
1368688,573522
1368737,573538
1368788,573565
1368826,573578
1368857,573588
1368884,573608
1368950,573639
1369004,573666
1369192,573742
1369353,573816
1369449,573848
1369621,573894
1369903,574013
1370171,574143
1370211,574149
1370235,574155
1370441,574216
1370588,574259
1370659,574276
1370708,574303
1371003,574416
1371029,574422
1371053,574432
1371078,574436
1371103,574448
1371117,574458
1371226,574482
1371387,574535
1371408,574539
1371419,574547
1371460,574564
1371497,574598
1371604,574635
1371988,574803
1372104,574829
1372247,574880
1373246,575603
1373607,575687
1373661,575702
1373854,575773
1373986,575832
1374136,575889
1374167,575905
1374374,575989
1374542,576078
1374565,576082
1374681,576128
1374773,576161
1375152,576268
1375201,576279
1375324,576319
1375361,576327
1375389,576335
1375399,576339
1375541,576388
1375648,576427
1375663,576430
1375767,576484
1376470,576721
1376587,576781
1376608,576798
1377228,577180
1378280,577529
1378466,577608
1378625,577694
1379786,578111
1380061,578262
1380275,578291
1380727,578384
1381861,579034
1381865,579034
1381932,579054
1382971,579407
1383404,579644
1383717,579859
1383849,579944
1383997,580062
1384285,580323
1384403,580397
1384589,580613
1384742,580681
1385270,580934
1385329,580971
1385408,581002
1385442,581012
1385521,581036
1385546,581052
1385597,581066
1385731,581121
1385777,581137
1386036,581217
1386045,581219
1386165,581259
1386346,581339
1386444,581379
1386453,581383
