loc,send,const
80588,2931,1119
80706,2931,1120
80935,2931,1121
81107,2932,1122
81141,2932,1123
81253,2933,1124
81386,2933,1125
81538,2933,1126
81974,2956,1127
82056,2956,1128
82163,2956,1129
82206,2956,1130
82303,2956,1131
82406,2956,1132
82525,2956,1133
82657,2956,1134
82679,2957,1135
82716,2958,1136
82815,2969,1150
82841,2970,1151
82867,2971,1152
83014,2988,1154
83040,2988,1155
83197,3007,1156
83251,3007,1157
83512,3017,1170
83571,3017,1171
83640,3019,1172
83728,3021,1177
83750,3021,1178
83945,3025,1179
84327,3030,1180
84360,3030,1181
84392,3031,1182
85388,3050,1184
85878,3067,1184
86565,3078,1185
86684,3078,1185
87365,3087,1186
87815,3090,1187
87866,3092,1188
88093,3097,1189
88395,3098,1190
88500,3098,1193
88853,3106,1195
88988,3107,1196
89029,3107,1197
89306,3115,1198
89415,3117,1199
89505,3118,1200
89703,3120,1200
90045,3127,1201
90231,3128,1202
90371,3128,1203
90609,3130,1204
90750,3138,1206
90961,3141,1207
91381,3145,1208
91776,3155,1210
91933,3155,1210
92139,3156,1211
92398,3160,1212
92539,3160,1213
92715,3161,1214
92846,3161,1215
93435,3163,1216
93573,3163,1217
93621,3164,1218
93857,3165,1219
93885,3165,1219
94205,3174,1221
94321,3174,1222
94422,3175,1223
94675,3176,1224
94746,3177,1225
94952,3177,1226
95149,3177,1226
95284,3178,1227
96044,3180,1229
96214,3181,1230
96283,3181,1231
96491,3182,1232
96795,3184,1233
96959,3184,1234
97108,3184,1235
97344,3184,1235
97438,3185,1236
97600,3188,1237
97893,3190,1238
98071,3190,1239
98387,3192,1240
98811,3196,1240
99255,3197,1241
99330,3197,1242
99515,3198,1243
99544,3198,1244
100227,3198,1245
100559,3202,1246
100612,3203,1247
101040,3207,1248
101126,3208,1249
101318,3208,1249
101389,3209,1250
101491,3210,1251
101683,3216,1260
101769,3216,1261
102200,3225,1262
102230,3225,1263
102656,3230,1264
103122,3233,1265
103286,3237,1267
