loc,misses,hits,total,ratio
32847,7478,11323,76257,1.5141749130783633
32850,7478,11327,76271,1.5147098154586789
32909,7482,11378,76407,1.52071638599305
32979,7499,11411,76607,1.521669555940792
33318,7602,11591,77793,1.5247303341225993
34957,8014,12490,86296,1.558522585475418
34962,8014,12490,86303,1.558522585475418
35407,8107,12769,87693,1.5750585913408166
35445,8120,12780,87789,1.5738916256157636
35470,8134,12789,87864,1.572289156626506
35479,8138,12793,87885,1.5720078643401327
35505,8151,12806,87976,1.5710955710955712
35531,8159,12812,88055,1.5702904767741144
35543,8162,12815,88079,1.5700808625336926
35577,8171,12826,88164,1.569697711418431
35585,8171,12829,88176,1.5700648635417942
35592,8171,12834,88192,1.5706767837473994
35662,8196,12874,88399,1.5707662274280136
35745,8211,12892,88564,1.5700889051272684
35763,8217,12896,88606,1.5694292320798344
35972,8242,13075,89151,1.5863867993205532
36276,8332,13202,90022,1.584493518963034
36481,8376,13261,90553,1.5832139446036295
36495,8379,13262,90580,1.582766439909297
36683,8436,13408,91165,1.5893788525367474
36760,8457,13420,91325,1.586851129242048
36784,8462,13440,91392,1.5882770030725597
36788,8462,13440,91397,1.5882770030725597
36792,8463,13441,91405,1.588207491433298
36823,8470,13449,91465,1.5878394332939787
36828,8470,13449,91471,1.5878394332939787
36880,8496,13498,91677,1.5887476459510357
37083,8533,13542,92052,1.5870151177780383
37095,8534,13554,92095,1.588235294117647
37100,8537,13555,92113,1.5877943071336535
37126,8546,13569,92197,1.5877603557219753
37132,8546,13574,92211,1.5883454247601216
37360,8632,13699,92934,1.5870018535681187
37488,8667,13807,93336,1.5930541133033345
37513,8674,13817,93419,1.5929213742218122
37569,8676,13820,93461,1.5928999538958044
37596,8682,13826,93525,1.5924902096291178
37701,8698,13911,93791,1.5993331800413888
37744,8713,13926,93972,1.5983013887294846
37755,8713,13926,93997,1.5983013887294846
38148,8772,14086,94874,1.6057911536707707
38231,8799,14098,95187,1.6022275258552108
38350,8811,14110,95317,1.6014073317444104
38412,8863,14156,95663,1.5972018503892587
38485,8876,14244,95914,1.6047769265434881
38516,8886,14249,95971,1.6035336484357416
38531,8895,14254,96030,1.6024732996065205
38535,8899,14256,96048,1.6019777503090236
38537,8899,14256,96048,1.6019777503090236
38592,8921,14288,96312,1.6016141688151553
38643,8939,14297,96428,1.59939590558228
38720,8960,14322,96641,1.5984375
38728,8962,14329,96665,1.5988618611916983
38762,8971,14335,96747,1.597926652547096
38789,8980,14349,96818,1.5978841870824054
38809,8986,14357,96868,1.597707545070109
38878,9004,14371,97006,1.5960684140382053
38904,9019,14387,97102,1.5951879365783346
38911,9021,14389,97117,1.5950559804899678
38925,9025,14391,97145,1.5945706371191135
38928,9025,14391,97150,1.5945706371191135
39013,9053,14433,97352,1.5942781398431458
39024,9068,14438,97403,1.5921923246581384
39097,9080,14478,97582,1.5944933920704847
39229,9101,14507,97985,1.5940006592682123
39239,9104,14513,98016,1.594134446397188
39243,9105,14516,98026,1.5942888522789675
39344,9134,14593,98390,1.5976571053207795
39396,9144,14609,98493,1.5976596675415573
39528,9181,14697,98861,1.600806012416948
39535,9181,14702,98880,1.6013506154013724
39797,9253,14809,99602,1.6004539068410246
39829,9260,14814,99654,1.5997840172786177
39858,9262,14816,99681,1.599654502267329
39953,9325,14924,100045,1.6004289544235926
40141,9347,14950,100260,1.599443671766342
40187,9354,14955,100313,1.5987812700449007
40189,9354,14957,100318,1.598995082317725
40265,9374,14970,100428,1.596970343503307
40302,9380,15012,100537,1.6004264392324095
40303,9382,15014,100546,1.6002984438286079
40396,9406,15054,100747,1.600467786519243
40409,9409,15057,100804,1.6002763311722819
40420,9409,15067,100833,1.601339143373366
40644,9510,15144,101358,1.592429022082019
40886,9510,15144,101358,1.592429022082019
41717,9661,15395,103152,1.5935203395093676
41727,9661,15395,103152,1.5935203395093676
41751,9682,15410,103245,1.5916133030365627
41768,9683,15415,103268,1.5919653000103273
41806,9695,15453,103392,1.5939143888602372
41873,9707,15481,103509,1.5948284742968992
41897,9709,15482,103533,1.5946029457204656
43482,10042,15952,107521,1.5885281816371242
43618,10052,15966,107654,1.5883406287306008
43645,10057,15972,107719,1.5881475589141891
43723,10088,16001,107920,1.5861419508326724
43830,10107,16016,108061,1.5846443059265856
43896,10114,16026,108179,1.5845362863357721
44023,10155,16067,108515,1.5821762678483506
44044,10167,16075,108568,1.5810957017802696
44087,10175,16084,108718,1.5807371007371007
44192,10193,16155,109000,1.5849112135779457
